factor,warning_date,primary_classification,appendix_classification,reference_collapse_start,appendix_lead_time_days,inside_active_collapse,within_primary_horizon,within_extended_horizon
RMW,2019-07-05,false_positive,extended_early_warning,2020-04-17,198.0,False,False,True
RMW,2020-02-05,true_positive,true_positive,2020-04-17,50.0,False,True,True
RMW,2020-03-19,false_positive,duplicate_in_horizon,2020-04-17,20.0,False,True,True
RMW,2021-07-14,false_positive,too_early_to_attribute,2025-06-20,988.0,False,False,False
RMW,2021-09-16,false_positive,too_early_to_attribute,2025-06-20,943.0,False,False,False
RMW,2021-12-01,false_positive,too_early_to_attribute,2025-06-20,890.0,False,False,False
RMW,2022-05-09,false_positive,too_early_to_attribute,2025-06-20,781.0,False,False,False
RMW,2023-08-15,false_positive,too_early_to_attribute,2025-06-20,463.0,False,False,False
RMW,2024-04-29,false_positive,too_early_to_attribute,2025-06-20,286.0,False,False,False
RMW,2024-05-28,false_positive,too_early_to_attribute,2025-06-20,266.0,False,False,False
RMW,2025-07-03,true_positive,true_positive,2025-08-04,21.0,False,True,True
RMW,2025-07-17,true_positive,true_positive,2025-09-18,44.0,False,True,True
RMW,2025-09-18,false_positive,post_collapse_warning,2025-09-18,0.0,True,False,False
RMW,2026-02-04,true_positive,true_positive,2026-04-01,39.0,False,True,True
SMB,1965-06-14,false_positive,too_early_to_attribute,1969-08-12,1020.0,False,False,False
SMB,1967-06-05,false_positive,too_early_to_attribute,1969-08-12,522.0,False,False,False
SMB,1967-08-08,false_positive,too_early_to_attribute,1969-08-12,477.0,False,False,False
SMB,1967-08-29,false_positive,too_early_to_attribute,1969-08-12,462.0,False,False,False
SMB,1969-01-20,false_positive,extended_early_warning,1969-08-12,139.0,False,False,True
SMB,1969-06-23,true_positive,true_positive,1969-08-12,34.0,False,True,True
SMB,1969-07-28,true_positive,true_positive,1969-11-21,83.0,False,True,True
SMB,1969-09-17,false_positive,duplicate_in_horizon,1969-11-21,47.0,False,True,True
SMB,1971-08-16,false_positive,too_early_to_attribute,1973-01-31,368.0,False,False,False
SMB,1973-01-02,true_positive,true_positive,1973-01-31,20.0,False,True,True
SMB,1973-01-18,false_positive,duplicate_in_horizon,1973-01-31,8.0,False,True,True
SMB,1973-05-21,false_positive,post_collapse_warning,1973-01-31,0.0,True,False,False
SMB,1974-09-05,false_positive,too_early_to_attribute,1984-05-25,2458.0,False,False,False
SMB,1975-07-10,false_positive,too_early_to_attribute,1984-05-25,2245.0,False,False,False
SMB,1976-10-13,false_positive,too_early_to_attribute,1984-05-25,1925.0,False,False,False
SMB,1976-11-09,false_positive,too_early_to_attribute,1984-05-25,1907.0,False,False,False
SMB,1976-12-17,false_positive,too_early_to_attribute,1984-05-25,1880.0,False,False,False
SMB,1978-04-14,false_positive,too_early_to_attribute,1984-05-25,1547.0,False,False,False
SMB,1978-10-20,false_positive,too_early_to_attribute,1984-05-25,1415.0,False,False,False
SMB,1979-01-19,false_positive,too_early_to_attribute,1984-05-25,1353.0,False,False,False
SMB,1979-10-10,false_positive,too_early_to_attribute,1984-05-25,1170.0,False,False,False
SMB,1980-03-27,false_positive,too_early_to_attribute,1984-05-25,1053.0,False,False,False
SMB,1980-06-17,false_positive,too_early_to_attribute,1984-05-25,997.0,False,False,False
SMB,1981-09-28,false_positive,too_early_to_attribute,1984-05-25,674.0,False,False,False
SMB,1981-12-22,false_positive,too_early_to_attribute,1984-05-25,614.0,False,False,False
SMB,1982-08-17,false_positive,too_early_to_attribute,1984-05-25,450.0,False,False,False
SMB,1984-06-20,false_positive,post_collapse_warning,1984-05-25,0.0,True,False,False
SMB,1984-11-16,false_positive,too_early_to_attribute,1990-09-25,1478.0,False,False,False
SMB,1986-01-08,false_positive,too_early_to_attribute,1990-09-25,1192.0,False,False,False
SMB,1986-03-21,false_positive,too_early_to_attribute,1990-09-25,1141.0,False,False,False
SMB,1987-04-23,false_positive,too_early_to_attribute,1990-09-25,866.0,False,False,False
SMB,1987-07-14,false_positive,too_early_to_attribute,1990-09-25,810.0,False,False,False
SMB,1987-09-22,false_positive,too_early_to_attribute,1990-09-25,761.0,False,False,False
SMB,1989-01-19,false_positive,too_early_to_attribute,1990-09-25,425.0,False,False,False
SMB,1989-10-13,false_positive,extended_early_warning,1990-09-25,239.0,False,False,True
SMB,1990-01-15,false_positive,extended_early_warning,1990-09-25,176.0,False,False,True
SMB,1991-08-01,false_positive,too_early_to_attribute,1997-04-22,1447.0,False,False,False
